Question	Text	ID	Domain	Type
Calibrate	calibrate	w-task_calibrate	response	tr
ready	I'm also ready.  <beep>	r-task_also_ready	response	reciprocal-response
ready	participant is ready	w-task_ready	response	tr
move forward one foot	move forward 1 foot	w-move_1foot	response	tr
take a picture	send image	w-image	response	tr
face north	turn to face North	w-turn_North	response	tr
take a picture	send image	w-image	response	tr
face <pause> west	turn to face West	w-turn_West	response	tr
hm take picture	send image	w-image	response	tr
face south	turn to face South	w-turn_South	response	tr
take picture	send image	w-image	response	tr
face south east	turn left 45 degrees	w-turn_left_45	response	tr
take picture	send image	w-image	response	tr
go to water jug	move to water jug	w-move_water_jug	response	tr
face east	turn to face East	w-turn_East	response	tr
go three feet	move forward 3 feet	w-move_3feet	response	tr
face bucket	move to bucket with rope	w-move_bucket	response	tr
take picture	send image	w-image	response	tr
go to plant	move to Dark room plant	w-move_dark_room	response	tr
turn one eighty	turn right 180	w-turn_right_180	response	tr
take picture	send image	w-image	response	tr
move forward one foot	move forward 1 foot	w-move_1foot	response	tr
face north	turn to face North	w-turn_North	response	tr
take picture	send image	w-image	response	tr
go to dining room table	move to Conference table	w-move_table	response	tr
rotate < extended pause> ninety degrees left	turn left 90 degrees	w-turn_left_90	response	tr
take picture	send image	w-image	response	tr
go to map	move to map	w-move_map	response	tr
take picture	send image	w-image	response	tr
rotate toward camera towards calendar	move to Conference calendar	w-move_conf_calendar	response	tr
take picture	send image	w-image	response	tr
center in front of calendar	move forward to front of calendar	w-move_conf_calendar	response	tr
and take picture	send image	w-image	response	tr
go back <pause> to table	move back towards table	w-move_table	response	tr
face east	turn to face East	w-turn_East	response	tr
take picture	send image	w-image	response	tr
rotate forty five degrees <pause> right	turn right 45 degrees	w-turn_right_45	response	tr
head forward	How far should I move forward? <beep>	r-clarify_distance_forward_move	response	req-clar
ten feet	move forward 10	w-move_10feet	response	tr
face south	turn to face South	w-turn_South	response	tr
go three feet	move forward 3 feet	w-move_3feet	response	tr
face east	turn to face East	w-turn_East	response	tr
take picture	send image	w-image	response	tr
face south	turn to face South	w-turn_South	response	tr
go forward to nearest doorwell	move to Dark room - hall doorway	w-move_dark_hall_door	response	tr
go west<pause> five feet	turn to face West then � move forward 5 feet	w-turn_West; w-move_5feet	response	tr
face south	turn to face South	w-turn_South	response	tr
take picture	send image	w-image	response	tr
go towards poster on left	move to Budapest poster	w-move_Budapest_poster	response	tr
take picture	send image	w-image	response	tr
go back to prior position	Can you rephrase that?  <beep>	r-request_rephrase	response	req-clar
face uh southwest	turn right 90 degrees	w-turn_right_90	response	tr
take picture	send image	w-image	response	tr
go to fire hydrant or not fire hydrant uh go to fire extinguisher	move into Shoe Start room	w-move_shoe_start_room	response	tr
face <pause> east	turn to face East	w-turn_East	response	tr
