Question	Text	ID	Domain	Type
go west twenty feet	turn to face West; move forward 20 feet	w-turn_West; w-move_forward_distance (20 feet)	response	tr
go west ten feet	turn to face West; move forward 10 feet	w-turn_West; w-move_forward_distance (10 feet)	response	tr
 face west	turn to face West	w-turn_West	response	tr
 face that door	turn to face that door	"w-turn_target (""that door"")"	response	tr
face the end of the hallway	turn to face end of hallway	"w-turn_target (""end of hallway"")"	response	tr
 go through the doorway on your left	turn to face doorway on left	"w-turn_target (""doorway on left"")"	response	tr
 face the door we just left	turn to face doorway of the room you just left	"w-turn_target (""doorway of the room you just left"")"	response	tr
 robot turn forty five degrees to the left to the door	turn to face door on left	"w-turn_target (""door on left"")"	response	tr
turn to the cone on your right	turn to face cone on right	"w-turn_target (""cone on right"")"	response	tr
 and face south	turn to face South	w-turn_South	response	tr
 and face south	turn to face South	w-turn_South	response	tr
 face south	turn to face South	w-turn_South	response	tr
 <pause> and face south	turn to face South	w-turn_South	response	tr
 turn right eighty degrees	turn right 80 degrees	w-turn_right_degrees (80)	response	tr
 <deep breath> turn right fifty degrees	turn right 50 degrees	w-turn_right_degrees (50)	response	tr
do a three hundred and sixty degree spin	turn right 360 degrees	w-turn_right_degrees (360)	response	tr
do a three hundeed and sixty degree turn	turn right 360 degrees	w-turn_right_degrees (360)	response	tr
 turn to your right thirty five degrees	turn right 35 degrees	w-turn_right_degrees (35)	response	tr
turn to the right another thirty degrees	turn right 30 degrees	w-turn_right_degrees (30)	response	tr
turn right thirty degrees	turn right 30 degrees	w-turn_right_degrees (30)	response	tr
 turn to the right thirty degrees	turn right 30 degrees	w-turn_right_degrees (30)	response	tr
 turn thirty degrees right	turn right 30 degrees	w-turn_right_degrees (30)	response	tr
turn right twenty five degrees	turn right 25 degrees	w-turn_right_degrees (25)	response	tr
turn to the right twenty five degrees	turn right 25 degrees	w-turn_right_degrees (25)	response	tr
 <deep breath> turn twenty five degrees right	turn right 25 degrees	w-turn_right_degrees (25)	response	tr
 to the right twenty degrees	turn right 20 degrees	w-turn_right_degrees (20)	response	tr
turn right twenty degrees	turn right 20 degrees	w-turn_right_degrees (20)	response	tr
turn twenty degrees to the right	turn right 20 degrees	w-turn_right_degrees (20)	response	tr
turn right twenty degrees	turn right 20 degrees	w-turn_right_degrees (20)	response	tr
turn right twenty degrees	turn right 20 degrees	w-turn_right_degrees (20)	response	tr
turn right twenty degrees	turn right 20 degrees	w-turn_right_degrees (20)	response	tr
turn right twenty degrees	turn right 20 degrees	w-turn_right_degrees (20)	response	tr
turn right fifteen degrees	turn right 15 degrees	w-turn_right_degrees (15)	response	tr
turn right one hundred degrees	turn right 100 degrees	w-turn_right_degrees (100)	response	tr
 pivot right	turn right 10 degrees	w-turn_right_degrees (10)	response	tr
 and turn right ten degrees	turn right 10 degrees	w-turn_right_degrees (10)	response	tr
turn right ten degrees	turn right 10 degrees	w-turn_right_degrees (10)	response	tr
 to the right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
to the right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 pivot right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 pivot right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 pivot right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 pivot right forty	turn right 90 degrees 	w-turn_right_90	response	tr
 rotate right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
turn right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 turn right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 turn right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 turn right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 turn ninety degrees right	turn right 90 degrees 	w-turn_right_90	response	tr
 turn ninety degrees to the right	turn right 90 degrees 	w-turn_right_90	response	tr
 turn ninety degrees to the right	turn right 90 degrees 	w-turn_right_90	response	tr
turn to your right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
turn to your right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
turn to your right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 turn to the right	turn right 90 degrees 	w-turn_right_90	response	tr
 turn to your right about ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 turn right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 turn right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 turn right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 turn right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
turn right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
turn right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 rotate right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
 to the right fourty	turn right 45 degrees 	w-turn_right_45	response	tr
 turn right nine uh forty five degrees	turn right 45 degrees 	w-turn_right_45	response	tr
 turn forty five degrees to the right	turn right 45 degrees 	w-turn_right_45	response	tr
 turn forty five degrees to the right	turn right 45 degrees 	w-turn_right_45	response	tr
