Question	Text	ID	Domain	Type
and send me a photo of the hallway	send image	w-image	response	tr
take a picture	send image	w-image	response	tr
take a picture	send image	w-image	response	tr
 can you do ano <another> turn another ten degree angle to your right	turn right 10 degrees	w-turn_right_degrees (10)	response	tr
take picture	send image	w-image	response	tr
<pause>turn ninety degrees right	turn right 90 degrees	w-turn_right_90	response	tr
take a picture	send image	w-image	response	tr
can you take a photo	send image	w-image	response	tr
"rotate 90 degrees left, image every 45"	"rotate 90 degrees left, image every 45"	w-repeat_command_iteration(2:  w-rotate_left_45; w-image)	response	tr
and take a picture	send image	w-image	response	tr
 and face south	turn to face South	w-turn_South	response	tr
<pause> turn forty five degrees right	turn right 45 degrees	w-turn_right_45	response	tr
turn right 90 degrees 	turn right 90 degrees 	w-turn_right_90	response	tr
take a picture	send image	w-image	response	tr
send photo	send image	w-image	response	tr
take a picture	send image	w-image	response	tr
move forward five feet	move forward 5 feet	w-move_5feet	response	tr
 rotate right ninety degrees	turn right 90 degrees 	w-turn_right_90	response	tr
take a photo	send image	w-image	response	tr
take a picture	send image	w-image	response	tr
robot move forward one foot	move forward 1 foot	w-move_1foot	response	tr
move forward one foot	move forward 1 foot	w-move_1foot	response	tr
and rotate ninety degrees right	turn right 90 degrees	w-turn_right_90	response	tr
turn left ninety degrees	turn left 90 degrees	w-turn_left_90	response	tr
uh move um five feet	move forward 5 feet	w-move_5feet	response	tr
 make a right <pause> well about three feet and a quick left	How far should I turn to the right?	r-clarify_turn_right	response	req-clar
move to stop sign 	move to stop sign 	w-move_stop_sign	response	tr
take a picture	send image	w-image	response	tr
turn right uhhh <pause>sixty five degrees	turn right 65 degrees	w-turn_right_degrees (65)	response	tr
 and take a photo	send image	w-image	response	tr
go in to the door on your left	move to doorway on the left	"w-move_target (""doorway on the left""); "	response	tr
send picture	send image	w-image	response	tr
then take a photo	send image	w-image	response	tr
take a photo	send image	w-image	response	tr
turn right forty five degrees	turn right 45 degrees	w-turn_right_45	response	tr
take a picture	send image	w-image	response	tr
